subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
030,0,1,953,966,1,1,normal,693,401,621.953,2000,1,1246
030,0,2,701,417,1,1,normal,988,458,289.914,2000,1,492
030,0,3,976,447,1,1,normal,1288,472,313,2000,1,370
030,0,4,1282,453,1,1,normal,1091,698,310.654,2000,1,564
030,0,5,1080,683,1,1,normal,791,694,289.209,2000,1,531
030,0,6,773,687,1,1,normal,603,460,283.6,2000,1,1329
030,0,7,658,452,1,1,normal,719,736,290.477,2000,1,691
030,0,8,717,746,1,1,normal,619,454,308.006,2000,1,398
030,0,9,615,435,1,1,normal,918,428,303.081,2000,1,540
030,0,10,922,441,1,1,normal,628,350,307.761,2000,1,304
030,0,11,594,338,1,1,normal,928,354,334.383,2000,1,311
030,0,12,940,335,1,1,normal,854,645,321.708,2000,1,934
030,0,13,861,646,1,1,normal,561,709,306.544,2000,1,626
030,0,14,559,712,1,1,normal,714,451,303.556,2000,1,459
030,0,15,734,456,1,1,normal,892,692,284.007,2000,1,1129
030,0,16,903,693,1,1,normal,1186,754,289.5,2000,1,533
030,0,17,1178,775,1,1,normal,915,625,302.769,2000,1,456
030,0,18,906,617,1,1,normal,863,329,291.192,2000,1,570
030,0,19,850,338,1,1,normal,704,584,286.063,2000,1,549
030,0,20,693,584,1,1,normal,630,293,297.741,2000,1,555
030,0,21,620,290,1,1,normal,923,358,310.537,2000,1,567
030,0,22,929,371,1,1,normal,967,655,286.531,2000,1,412
030,0,23,983,663,1,1,normal,971,355,308.234,2000,1,442
030,0,24,989,356,1,1,normal,1177,573,287.111,2000,1,629
030,0,25,1176,579,1,1,normal,942,386,303.323,2000,1,545
030,0,26,946,406,1,1,normal,748,614,287.172,2000,1,651
030,0,27,743,633,1,1,normal,1003,456,314.53,2000,1,518
030,0,28,1017,470,1,1,normal,752,621,305.002,2000,1,474
030,0,29,745,632,1,1,normal,938,385,313.461,2000,1,656
030,0,30,972,418,1,1,normal,985,682,264.32,2000,1,372
030,1,1,980,985,1,-1,MODIFIED1,961,240,745.242,2000,1,1734
030,1,2,973,850,1,-1,MODIFIED1,790,486,407.413,2000,0,2003
030,1,3,1150,585,1,-1,MODIFIED1,812,785,392.739,2000,0,2012
030,1,4,627,420,1,-1,MODIFIED1,878,492,261.123,2000,0,2004
030,1,5,757,295,1,-1,MODIFIED1,1175,536,482.499,2000,0,2006
030,1,6,1251,0,1,-1,MODIFIED1,925,370,493.129,2000,1,1819
030,1,7,943,711,1,-1,MODIFIED1,1089,621,171.511,2000,0,2002
030,1,8,1005,445,1,-1,MODIFIED1,1150,327,186.947,2000,0,2004
030,1,9,1136,343,1,-1,MODIFIED1,1193,624,286.723,2000,1,1197
030,1,10,1196,440,1,-1,MODIFIED1,899,685,385.012,2000,0,2011
030,1,11,921,447,1,-1,MODIFIED1,602,646,375.981,2000,0,2004
030,1,12,587,387,1,-1,MODIFIED1,783,407,197.018,2000,0,2011
030,1,13,727,0,1,-1,MODIFIED1,1024,585,656.075,2000,0,2007
030,1,14,940,314,1,-1,MODIFIED1,1068,289,130.419,2000,1,1492
030,1,15,1065,782,1,-1,MODIFIED1,1260,519,327.405,2000,1,1807
030,1,16,1249,557,1,-1,MODIFIED1,971,596,280.722,2000,0,2003
030,1,17,968,457,1,-1,MODIFIED1,761,382,220.168,2000,0,2001
030,1,18,822,680,1,-1,MODIFIED1,1020,533,246.603,2000,0,2007
030,1,19,988,359,1,-1,MODIFIED1,824,760,433.24,2000,0,2001
030,1,20,876,421,1,-1,MODIFIED1,795,461,90.3383,2000,1,1697
030,1,21,789,601,1,-1,MODIFIED1,880,749,173.738,2000,1,1000
030,1,22,866,335,1,-1,MODIFIED1,981,467,175.069,2000,0,2003
030,1,23,988,433,1,-1,MODIFIED1,1031,762,331.798,2000,0,2004
030,1,24,1066,355,1,-1,MODIFIED1,1109,472,124.652,2000,1,1204
030,1,25,1121,594,1,-1,MODIFIED1,1328,676,222.65,2000,0,2004
030,1,26,1285,430,1,-1,MODIFIED1,1029,663,346.157,2000,1,1917
030,1,27,1021,427,1,-1,MODIFIED1,751,776,441.249,2000,1,1865
