subnum,trial,step,xtrans,ytrans,label,startx,starty,time,xpos,ypos,step,targx,targy,dist,timeout,hit
035,0,1,1,1,normal,975,975,21884,975,975,1,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,21898,975,975,2,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,21911,975,975,3,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,21923,975,975,4,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,21935,975,975,5,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,21948,975,975,6,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,21961,975,975,7,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,21974,975,975,8,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,21986,975,975,9,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,21999,975,975,10,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22013,975,975,11,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22026,975,975,12,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22038,975,975,13,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22051,975,975,14,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22063,975,975,15,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22077,975,975,16,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22090,975,975,17,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22102,975,975,18,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22115,975,975,19,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22128,975,975,20,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22141,975,975,21,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22154,975,975,22,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22167,975,975,23,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22179,975,975,24,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22192,975,975,25,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22206,975,975,26,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22218,975,975,27,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22232,975,975,28,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22245,975,975,29,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22258,975,975,30,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22271,975,975,31,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22283,975,975,32,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22295,975,975,33,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22309,975,975,34,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22322,975,975,35,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22335,975,975,36,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22349,975,975,37,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22362,975,975,38,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22374,975,975,39,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22387,974,975,40,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22398,971,974,41,1111,281,707.2,2000,0
035,0,1,1,1,normal,975,975,22412,970,973,42,1111,281,707.2,2000,0
