subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
M2012,1,84484,200,25,1059.2,904.152,-251.249,380,349,0,1,1,0,1,796.89,6747
M2012,2,96814,800,50,819.246,1019.08,556.68,1068,607,0,0,0,0,0,70.1827,7432
M2012,3,109926,200,50,374.754,551.779,410.803,403,472,0,1,1,0,1,160.874,3799
M2012,4,118198,200,100,117.826,316.906,525.3,369,519,1,1,0,NA,NA,52.474,4366
M2012,5,127557,800,25,813.553,1013.54,535.267,937,591,0,0,0,0,1,94.681,4097
M2012,6,137374,800,100,707.809,907.222,568.817,930,653,1,1,0,NA,NA,87.21,4680
M2012,7,147613,500,25,538.463,713.068,376.588,768,388,0,0,0,1,0,56.1045,4176
M2012,8,156502,500,100,614.655,812.316,593.571,709,637,0,1,0,0,1,112.073,2302
M2012,9,163669,500,50,267.837,447.747,438.223,621,355,0,0,0,1,0,192.205,3023
M2012,10,170283,800,50,721.446,901.019,369.542,954,343,0,0,0,1,0,59.2575,2614
M2012,11,177861,500,25,524.839,702.35,388.013,720,435,0,0,0,0,0,50.193,2249
M2012,12,184806,200,50,446.366,643.784,587.949,479,595,0,1,0,0,1,164.934,2663
M2012,13,191605,500,50,592.995,780.745,420.086,671,450,0,1,1,0,1,113.748,3104
M2012,14,199261,200,100,370.233,557.054,637.902,476,707,0,1,0,0,0,106.51,4246
M2012,15,208164,800,25,811.265,1004.63,436.449,1035,472,0,0,0,1,0,46.7578,1686
M2012,16,214813,500,100,348.555,538.924,621.369,676,727,0,0,0,1,0,173.054,1607
M2012,17,220349,800,100,697.63,893.809,612.922,1028,701,0,0,0,1,0,160.515,3561
M2012,18,228973,200,25,168.945,342.75,449.641,368,440,0,0,0,1,0,27.0278,1880
M2012,19,234301,200,25,241.8,428.626,618.722,328,616,0,0,0,0,1,100.663,2383
M2012,20,240406,200,100,286.106,486.087,543.329,472,600,1,1,0,NA,NA,58.3956,4326
M2012,21,249093,800,100,854.561,1051.93,472.952,1034,550,1,1,0,NA,NA,79.106,2536
M2012,22,256614,500,100,555.485,741.609,416.618,693,453,1,1,0,NA,NA,60.7168,3063
M2012,23,264156,200,50,496.342,669.3,701.593,419,667,0,1,0,0,1,252.679,2327
M2012,24,270925,500,50,648.768,846.768,590.902,635,601,0,1,0,0,1,212.008,1880
M2012,25,277285,500,25,-0,200,540,670,494,0,0,0,1,0,472.246,549
M2012,26,283221,800,50,618.082,814.696,475.393,902,489,0,0,0,1,0,88.3581,7169
M2012,27,295118,800,25,713.485,894.253,375.459,927,371,0,0,0,1,0,33.049,3294
M2012,28,303460,200,50,446.381,596.543,335.037,485,364,0,1,0,0,1,115.242,2752
M2012,29,311318,500,25,539.641,723.23,407.926,712,386,1,1,0,NA,NA,24.6348,4879
M2012,30,321301,200,25,296.303,495.02,567.541,439,574,0,1,1,0,1,56.3911,4439
M2012,31,329782,800,50,629.4,829.229,525.355,1089,549,0,0,0,1,0,260.845,4032
M2012,32,338501,500,50,757.921,946.786,410.56,764,461,0,1,0,0,1,189.618,3510
M2012,33,347469,500,100,502.025,702.023,538.54,711,579,1,1,0,NA,NA,41.4442,2566
M2012,34,354428,800,25,562.322,760.458,494.25,1084,528,0,0,0,1,0,325.298,2656
M2012,35,361437,800,100,867.058,1065.87,585.378,1010,658,1,1,0,NA,NA,91.6259,2020
M2012,36,368494,200,100,271.307,468.986,504.587,442,525,1,1,0,NA,NA,33.837,1254
M2012,37,373365,500,50,374.754,565.871,621.112,600,718,0,0,0,0,0,102.724,1839
M2012,38,380318,800,25,539.567,732.424,627.506,915,723,0,0,0,1,0,206.042,5239
M2012,39,390133,500,100,504.302,693.282,435.15,725,419,1,1,0,NA,NA,35.5928,2710
M2012,40,397390,200,100,7.52163,207.353,541.585,341,641,0,0,0,1,0,166.568,1262
M2012,41,400357,200,25,284.941,483.857,564.834,430,590,0,0,0,0,1,59.4461,1718
M2012,42,405941,500,25,415.686,611.297,479.754,696,488,0,0,0,1,0,85.1037,5351
M2012,43,415348,800,50,912.444,1110.58,598.352,998,684,0,0,0,0,1,141.453,3692
M2012,44,424356,800,100,828.388,1015.8,396.152,1085,375,1,1,0,NA,NA,72.3577,3855
M2012,45,433174,200,50,386.073,570.806,647.495,421,617,0,1,1,0,1,152.879,2712
