subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
017,1,82547,800,25,815.842,1013.85,596.91,981,609,0,1,1,0,1,35.0086,5980
017,2,97108,500,100,267.837,466.203,510.454,643,448,0,0,0,1,0,187.504,4054
017,3,104883,800,50,832.952,1019.87,392.974,1066,375,1,1,0,NA,NA,49.5045,5542
017,4,115557,800,100,743.038,941.376,589.675,1038,575,1,1,0,NA,NA,97.7325,4102
017,5,124813,500,25,577.108,769.738,631.937,722,631,0,1,1,0,1,47.747,7728
017,6,137045,200,50,65.5641,264.665,529.179,334,490,0,0,0,1,0,79.6387,1279
017,7,141053,200,25,530.457,637.164,239.546,413,361,0,0,0,0,1,254.952,4959
017,8,150252,500,50,552.172,731.658,390.891,755,395,1,1,0,NA,NA,23.7004,2256
017,9,157164,200,100,281.611,413.606,356.486,336,420,0,1,1,0,0,100.283,4984
017,10,167245,200,50,408.84,557.002,340.751,463,411,0,1,0,0,1,117.351,3881
017,11,175508,500,100,606.65,790.702,401.815,636,414,0,1,0,0,1,155.181,3559
017,12,183652,800,100,888.652,1088.02,573.597,913,549,0,1,0,0,1,176.737,4303
017,13,192987,800,50,929.514,1129.42,553.519,1015,574,0,1,0,0,1,116.234,5496
017,14,203516,500,50,519.192,719.052,552.081,667,519,0,1,0,0,1,61.6745,3670
017,15,211628,800,25,872.742,1072.71,547.616,1059,553,1,1,1,NA,NA,14.7279,8602
017,16,225445,500,25,377.023,571.852,602.227,628,596,0,0,0,1,0,56.4919,8687
017,17,238036,200,100,274.72,430.4,390.377,328,454,0,1,1,0,1,120.555,2455
017,18,244731,200,25,308.781,508.734,534.611,490,529,1,1,1,NA,NA,19.5561,2903
017,19,251956,800,50,725.982,916.371,422.262,936,391,1,1,0,NA,NA,36.9131,4038
017,20,260900,200,50,316.763,516.757,541.843,476,540,1,1,1,NA,NA,40.7991,4126
017,21,268876,800,100,732.893,919.428,679.843,943,709,1,1,0,NA,NA,37.4939,3817
017,22,277364,200,100,151.973,340.906,596.93,347,594,1,1,1,NA,NA,6.7613,1497
017,23,282141,500,25,351.963,530.031,417.699,702,372,0,0,0,1,0,177.937,3992
017,24,289997,500,50,605.573,770.838,337.856,768,378,1,1,0,NA,NA,40.2445,5480
017,25,299981,800,25,513.488,705.944,452.305,987,428,0,0,0,1,0,282.105,4710
017,26,309012,200,25,267.867,462.644,592.64,407,581,0,1,1,0,1,56.8485,3329
017,27,315924,500,100,433.92,631.13,490.879,633,464,1,1,0,NA,NA,26.9439,1495
017,28,322483,800,100,623.74,808.955,675.002,1048,704,0,0,0,1,0,240.797,2247
017,29,329237,800,25,453.188,652.912,555.816,920,565,0,0,0,1,0,267.246,3354
017,30,336676,200,100,282.716,459.268,427.267,405,398,1,1,0,NA,NA,61.6566,2198
017,31,342534,500,25,602.073,784.188,685.655,736,694,0,1,0,0,1,48.9057,3238
017,32,350397,200,50,93.921,262.234,469.657,312,357,0,0,0,0,0,123.16,1932
017,33,354876,200,25,521.457,653.853,283.222,441,395,0,1,1,0,1,240.417,4158
017,34,363317,500,100,646.52,845.984,566.322,774,567,1,1,1,NA,NA,71.9872,2522
017,35,370285,500,50,420.271,593.227,391.673,772,340,0,0,0,1,0,186.091,2896
017,36,377284,800,50,766.945,951.548,692.904,1059,727,0,0,0,1,0,112.732,3709
017,37,385836,200,25,174.629,362.291,604.474,417,632,0,0,0,1,0,61.2429,4838
017,38,393996,800,100,590.783,783.238,634.116,909,656,0,0,0,1,0,127.652,2399
017,39,400941,500,50,278.09,477.709,554.554,791,568,0,0,0,1,0,313.58,2270
017,40,406836,200,50,333.838,479.98,721.821,362,701,0,1,0,0,1,119.803,4007
017,41,415260,800,50,652.155,847.06,458.64,1039,391,0,0,0,1,0,203.51,3086
017,42,422780,500,25,422.535,592.226,382.856,650,351,0,0,0,1,0,65.9741,3495
017,43,430406,500,100,513.413,713.405,542.987,604,523,0,1,0,0,1,111.215,1863
017,44,436756,800,25,765.861,959.309,639.965,969,672,0,0,0,0,0,33.4687,4246
017,45,445995,200,100,46.1623,239.638,516.34,394,407,0,0,0,1,0,189.164,1646
