subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
034,1,85471,200,100,239.431,386.073,690.679,378,686,1,1,1,NA,NA,9.33106,3427
034,2,92631,500,25,477.089,658.988,670.169,784,714,0,0,0,1,0,132.473,2855
034,3,99912,200,25,257.666,443.628,623.888,347,599,0,1,1,0,1,99.7816,2678
034,4,106136,800,50,635.06,810.459,364.954,996,421,0,0,0,1,0,193.821,2670
034,5,113872,500,50,424.769,624.753,536.293,669,535,1,1,0,NA,NA,44.2658,1622
034,6,119751,500,100,630.582,829.62,505.166,770,512,1,1,1,NA,NA,60.01,2087
034,7,126416,800,25,608.999,785.407,372.137,1037,380,0,0,0,1,0,251.716,5423
034,8,136576,800,100,819.246,1008.01,675.215,993,674,1,1,1,NA,NA,15.0594,2215
034,9,143656,200,50,30.3005,229.927,535.26,308,522,0,0,0,1,0,79.1905,3896
034,10,149264,800,100,764.703,964.238,513.312,944,547,1,1,0,NA,NA,39.2992,3918
034,11,157935,800,50,749.893,946.009,616.215,1051,633,0,0,0,1,0,106.324,2321
034,12,164968,200,100,380.502,557.555,409.861,446,445,0,1,1,0,1,116.958,1358
034,13,170312,200,25,258.81,440.245,636.253,364,608,0,1,1,0,1,81.3119,2001
034,14,176015,200,50,456.6,577.794,796.427,416,738,0,1,0,0,1,172.021,2986
034,15,183223,500,100,621.435,788.164,740.609,742,736,1,1,1,NA,NA,46.3938,1567
034,16,189600,500,50,447.463,635.995,640.657,758,670,0,0,0,1,0,125.484,1807
034,17,195952,500,25,571.371,702.922,268.827,621,359,0,0,0,0,1,121.829,2742
034,18,203128,800,25,934.058,1100.81,293.003,975,372,0,0,0,0,1,148.554,2579
034,19,210919,200,100,471.415,658.708,431.284,485,474,0,1,1,0,1,178.883,2753
034,20,217840,200,25,158.803,323.703,440.422,336,430,1,1,0,NA,NA,16.1189,3845
034,21,225135,800,50,811.28,984.844,334.588,1065,359,0,0,0,1,0,83.7907,5471
034,22,235473,500,50,555.515,719.768,343.942,774,373,0,0,0,1,0,61.5268,3280
034,23,243391,800,25,936.322,1131.47,444.837,1018,467,0,1,1,0,1,115.618,8015
034,24,256336,800,100,873.783,1064.56,413.361,950,447,0,1,0,0,1,119.394,3058
034,25,264302,500,25,411.132,606.437,478.048,697,464,0,0,0,1,0,91.6459,2032
034,26,271912,500,100,588.451,774.129,410.965,757,424,1,1,1,NA,NA,21.5247,1512
034,27,278640,200,50,199.725,359.856,659.733,326,659,1,1,0,NA,NA,33.8643,2992
034,28,285070,800,50,716.954,912.346,621.162,1014,630,0,0,0,1,0,102.038,3224
034,29,293095,200,25,380.397,576.997,489.251,373,511,0,1,1,0,1,205.153,3671
034,30,300719,800,100,859.053,1058.82,559.989,1000,534,1,1,0,NA,NA,64.3064,1815
034,31,307367,200,50,139.472,313.31,458.678,338,445,1,1,0,NA,NA,28.2258,3919
034,32,314608,500,100,579.394,775.67,474.411,796,471,1,1,0,NA,NA,20.6145,3046
034,33,322103,500,50,523.662,686.664,733.339,662,675,0,1,0,0,0,63.3383,1936
034,34,328384,500,25,549.874,733.925,671.474,781,663,0,0,0,1,0,47.8312,2366
034,35,335127,800,25,711.292,903.782,436.911,953,458,0,0,0,1,0,53.5455,3617
034,36,343431,200,100,328.107,459.138,741.25,346,690,0,1,0,0,1,124.205,1591
034,37,349048,200,100,487.3,637.982,753.618,444,678,0,1,0,0,1,208.2,2471
034,38,355894,200,50,350.922,511.271,377.962,476,388,1,1,1,NA,NA,36.6718,1895
034,39,361743,800,100,954.577,1138.08,363.313,1091,398,1,1,0,NA,NA,58.4804,2735
034,40,369448,200,25,213.384,412.572,521.402,357,526,0,1,1,0,1,55.762,3185
034,41,375935,500,25,453.248,639.463,650.929,612,648,0,1,1,0,1,27.6191,2175
034,42,382184,500,50,512.356,706.729,615.731,674,626,1,1,0,NA,NA,34.3018,1607
034,43,387984,800,25,924.986,1124.67,515.787,1070,520,0,1,1,0,1,54.8307,4496
034,44,397761,500,100,447.568,622.758,686.944,642,690,1,1,0,NA,NA,19.4832,3310
034,45,405167,800,50,660.054,845.228,400.89,919,422,0,0,0,1,0,76.7328,2771
