subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
M2009,0,1,954,983,1,1,normal,673,628,452.754,2000,0,2007
M2009,0,2,815,568,1,1,normal,724,333,252.004,2000,0,2003
M2009,0,3,781,529,1,1,normal,641,621,167.523,2000,1,1106
M2009,0,4,635,621,1,1,normal,916,741,305.55,2000,1,620
M2009,0,5,908,732,1,1,normal,860,446,290,2000,1,601
M2009,0,6,877,437,1,1,normal,1085,645,294.156,2000,1,925
M2009,0,7,1084,632,1,1,normal,1359,768,306.791,2000,1,739
M2009,0,8,1360,757,1,1,normal,1090,634,296.697,2000,0,2007
M2009,0,9,1158,603,1,1,normal,1069,335,282.392,2000,1,1289
M2009,0,10,1066,324,1,1,normal,771,370,298.565,2000,1,771
M2009,0,11,785,360,1,1,normal,916,632,301.902,2000,1,614
M2009,0,12,917,616,1,1,normal,1178,779,307.717,2000,1,817
M2009,0,13,1164,783,1,1,normal,924,619,290.682,2000,1,620
M2009,0,14,943,619,1,1,normal,700,819,314.721,2000,1,853
M2009,0,15,687,806,1,1,normal,705,519,287.564,2000,1,861
M2009,0,16,710,537,1,1,normal,984,629,289.033,2000,1,623
M2009,0,17,977,641,1,1,normal,1252,496,310.886,2000,1,821
M2009,0,18,1264,503,1,1,normal,992,644,306.374,2000,1,741
M2009,0,19,1004,633,1,1,normal,788,424,300.561,2000,1,406
M2009,0,20,798,422,1,1,normal,790,724,302.106,2000,1,892
M2009,0,21,786,741,1,1,normal,604,488,311.662,2000,1,479
M2009,0,22,611,483,1,1,normal,638,786,304.201,2000,1,1039
M2009,0,23,625,774,1,1,normal,938,770,313.026,2000,1,764
M2009,0,24,940,778,1,1,normal,1088,510,306.15,2000,1,669
M2009,0,25,1104,520,1,1,normal,1213,783,284.693,2000,1,511
M2009,0,26,1197,791,1,1,normal,1051,530,299.06,2000,1,377
M2009,0,27,1066,536,1,1,normal,955,815,300.27,2000,1,847
M2009,0,28,939,809,1,1,normal,959,515,294.679,2000,1,546
M2009,0,29,972,523,1,1,normal,1195,700,284.707,2000,1,520
M2009,0,30,1191,710,1,1,normal,902,765,294.187,2000,1,661
M2009,1,1,973,976,1,-1,MODIFIED1,735,341,678.136,2000,1,1607
M2009,1,2,749,728,1,-1,MODIFIED1,949,551,267.075,2000,0,2005
M2009,1,3,988,386,1,-1,MODIFIED1,1139,319,165.197,2000,0,2001
M2009,1,4,1048,754,1,-1,MODIFIED1,996,582,179.689,2000,1,1759
M2009,1,5,989,537,1,-1,MODIFIED1,905,296,255.22,2000,1,935
M2009,1,6,907,765,1,-1,MODIFIED1,975,588,189.613,2000,0,2003
M2009,1,7,891,489,1,-1,MODIFIED1,1153,830,430.029,2000,0,2006
M2009,1,8,1032,231,1,-1,MODIFIED1,853,820,615.599,2000,1,1009
M2009,1,9,872,264,1,-1,MODIFIED1,796,525,271.84,2000,1,1077
M2009,1,10,785,548,1,-1,MODIFIED1,740,820,275.697,2000,1,1522
M2009,1,11,735,244,1,-1,MODIFIED1,992,657,486.434,2000,0,2001
M2009,1,12,550,114,1,-1,MODIFIED1,1200,441,727.619,2000,0,2001
M2009,1,13,997,861,1,-1,MODIFIED1,929,312,553.195,2000,1,1816
M2009,1,14,927,751,1,-1,MODIFIED1,727,534,295.108,2000,0,2000
M2009,1,15,794,580,1,-1,MODIFIED1,661,241,364.157,2000,1,1863
M2009,1,16,673,824,1,-1,MODIFIED1,920,394,495.892,2000,1,1721
M2009,1,17,926,690,1,-1,MODIFIED1,621,368,443.519,2000,0,2012
M2009,1,18,624,666,1,-1,MODIFIED1,918,409,390.493,2000,1,727
M2009,1,19,909,641,1,-1,MODIFIED1,640,521,294.552,2000,1,1120
M2009,1,20,645,547,1,-1,MODIFIED1,844,740,277.218,2000,1,1407
M2009,1,21,838,332,1,-1,MODIFIED1,871,442,114.843,2000,1,1751
M2009,1,22,878,623,1,-1,MODIFIED1,1097,244,437.724,2000,1,900
M2009,1,23,1086,837,1,-1,MODIFIED1,810,333,574.623,2000,1,1216
M2009,1,24,800,734,1,-1,MODIFIED1,575,520,310.517,2000,1,1134
