subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
10142,1,126256,500,100,405.442,599.485,609.242,644,641,1,1,0,NA,NA,54.6819,5708
10142,2,136823,800,100,510.078,710.07,537.033,996,559,0,0,0,1,0,286.773,6222
10142,3,150297,500,50,416.78,596.381,411.208,777,384,0,0,0,1,0,182.657,14271
10142,4,171850,800,25,593.025,771.916,383.184,900,420,0,0,0,1,0,133.27,5593
10142,5,183312,800,50,852.18,1046.98,634.006,978,689,0,0,0,0,1,88.2184,4136
10142,6,193521,200,25,404.289,548.943,335.822,489,366,0,1,1,0,1,67.1106,3559
10142,7,201976,200,100,394.041,587.442,468.192,373,477,0,1,0,0,1,214.623,3864
10142,8,210545,200,50,341.803,525.074,434.377,493,414,1,1,0,NA,NA,37.9994,2600
10142,9,218848,500,25,572.522,767.404,616.38,667,619,0,1,0,0,1,100.438,4838
10142,10,229800,500,25,607.772,794.121,411.908,739,432,0,1,1,0,1,58.6681,5712
10142,11,242561,500,100,577.123,776.925,555.107,785,598,1,1,0,NA,NA,43.6461,4654
10142,12,252041,200,50,263.314,457.4,595.495,371,604,0,1,0,0,1,86.8172,3446
10142,13,260097,200,100,212.239,385.328,436.565,439,408,1,1,0,NA,NA,60.8001,2263
10142,14,266248,800,50,588.555,785.508,599.818,905,617,0,0,0,1,0,120.721,6095
10142,15,277776,500,50,561.158,759.428,495.972,744,498,1,1,1,NA,NA,15.5604,2824
10142,16,285938,200,25,299.686,491.201,469.192,433,468,0,1,1,0,1,58.2128,4215
10142,17,295202,800,100,535.034,724.293,433.331,926,381,0,0,0,1,0,208.385,3431
10142,18,306176,800,25,797.61,991.086,438.192,1022,417,0,0,0,1,0,37.4805,3118
10142,19,315073,200,25,423.689,584.512,717.941,436,709,0,0,0,0,1,148.781,2873
10142,20,322633,500,50,570.311,769.694,566.534,725,599,0,1,0,0,0,55.241,4402
10142,21,332913,500,100,400.951,600.517,558.654,723,639,0,0,0,1,0,146.484,2039
10142,22,340544,200,100,190.629,388.015,571.463,346,594,1,1,0,NA,NA,47.6779,1807
10142,23,347520,200,50,423.689,620.379,487.142,473,493,0,1,1,0,1,147.496,2326
10142,24,354608,500,25,443.002,635.584,620.731,690,678,0,0,0,1,0,78.9994,3415
10142,25,363161,800,25,866.998,1057.1,670.644,1072,731,0,0,0,0,0,62.1682,4137
10142,26,373777,800,50,757.816,953.665,619.213,1019,671,0,0,0,1,0,83.3699,4961
10142,27,384569,800,100,705.602,902.353,472.371,1094,445,0,0,0,1,0,193.591,2551
10142,28,392297,500,50,522.529,717.858,470.29,654,481,0,1,1,0,1,64.7503,2825
10142,29,400056,500,100,598.722,790.221,439.465,776,387,1,1,0,NA,NA,54.3583,3351
10142,30,409032,800,25,789.723,985.396,622.548,958,669,0,0,0,0,1,53.9287,4968
10142,31,419010,200,100,445.314,645.313,538.705,485,547,0,1,1,0,1,160.527,1672
10142,32,426115,200,25,474.741,550.016,219.269,421,345,0,1,1,0,1,180.148,5792
10142,33,437104,200,50,267.882,465.691,505.807,431,489,1,1,0,NA,NA,38.548,2465
10142,34,444313,800,100,671.464,868.373,604.357,1079,697,0,0,0,1,0,230.101,5816
10142,35,455609,800,50,762.447,959.736,475.758,1030,463,0,0,0,1,0,71.4127,5575
10142,36,466881,500,25,488.415,673.211,660.913,610,685,0,0,0,0,1,67.645,2952
10142,37,474864,800,25,1075.03,1258.15,729.755,1086,700,0,1,1,0,1,174.699,3832
10142,38,485472,800,100,796.496,984.395,401.69,928,390,1,1,0,NA,NA,57.5941,3576
10142,39,494952,800,50,807.832,1006.96,502.415,1078,500,0,0,0,1,0,71.084,2030
10142,40,504633,500,25,469.083,669.065,535.907,605,553,0,1,0,0,1,66.3061,2902
10142,41,512576,500,100,333.778,533.743,544.854,630,540,1,1,0,NA,NA,96.3797,1590
10142,42,527296,200,50,455.487,646.606,629.511,357,597,0,1,0,0,1,291.425,3688
10142,43,535659,200,25,257.606,390.936,367.072,347,399,0,1,1,0,1,54.3122,7136
10142,44,547760,500,50,485.04,682.234,487.897,732,457,0,0,0,0,0,58.5773,2673
10142,45,555696,200,100,286.106,452.616,674.319,401,715,1,1,0,NA,NA,65.7209,4536
