subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
M1007,1,76153,800,50,861.359,1011.11,829.888,938,662,0,0,0,0,1,183.117,8363
M1007,2,90594,200,25,365.714,546.816,423.957,412,483,0,1,1,0,1,147.178,5350
M1007,3,100768,200,50,562.337,682.857,251.778,392,445,0,1,0,0,1,349.188,7886
M1007,4,113426,800,25,994.294,1176.03,729.72,957,644,0,0,0,0,1,235.202,10712
M1007,5,130058,500,25,603.239,793.767,646.479,621,579,0,0,0,0,1,185.478,4393
M1007,6,140371,500,50,670.295,868.922,497.133,759,516,0,1,1,0,1,111.53,10670
M1007,7,156537,500,100,477.044,670.952,464.004,630,483,1,1,1,NA,NA,45.1435,5584
M1007,8,166706,800,100,732.863,925.731,641.995,1077,658,0,0,0,1,0,152.113,8526
M1007,9,180450,200,100,237.154,423.78,618.513,481,624,1,1,0,NA,NA,57.4821,3184
M1007,10,187553,500,25,629.37,807.924,702.893,745,709,0,1,0,0,1,63.2201,10200
M1007,11,202466,500,50,531.59,717.261,417.407,716,459,1,1,0,NA,NA,41.6122,5966
M1007,12,213152,200,50,407.702,595.877,442.519,455,480,0,1,1,0,1,145.778,9511
M1007,13,227259,500,100,598.678,759.535,327.08,785,358,1,1,0,NA,NA,40.0562,6390
M1007,14,238274,200,25,289.543,474.312,632.672,479,630,1,1,1,NA,NA,5.39605,8702
M1007,15,251664,200,100,101.923,301.907,538.221,364,547,1,1,0,NA,NA,62.71,4952
M1007,16,260536,800,25,845.383,1019.67,333.098,949,422,0,0,0,0,1,113.571,15904
M1007,17,281444,800,50,594.177,774.375,692.114,932,670,0,0,0,1,0,159.168,17375
M1007,18,305946,800,100,668.135,855.486,669.393,932,692,1,1,0,NA,NA,79.7842,8990
M1007,19,319931,500,100,358.784,555.981,584.76,603,588,1,1,0,NA,NA,47.1307,3769
M1007,20,330113,500,25,572.552,728.969,759.106,731,735,1,1,0,NA,NA,24.1915,31199
M1007,21,366418,200,50,390.647,545.453,357.607,378,426,0,1,0,0,1,180.881,6431
M1007,22,378331,800,50,832.908,1008.17,338.501,1043,412,0,0,0,0,0,81.3351,13318
M1007,23,396841,800,100,646.475,844.332,487.404,1016,474,0,0,0,1,0,172.19,5158
M1007,24,406690,200,100,13.2942,212.222,545.23,301,605,0,0,0,0,0,107.023,6301
M1007,25,415897,800,25,924.926,1123.51,591.093,986,572,0,1,1,0,1,138.833,7142
M1007,26,428776,200,25,231.496,431.33,548.752,345,525,0,1,0,0,1,89.5383,5231
M1007,27,437786,500,50,676.054,843.57,332.959,700,370,0,1,1,0,1,148.271,7870
M1007,28,453859,200,50,376.993,573.623,590.294,429,585,0,1,1,0,1,144.72,9310
M1007,29,467281,500,100,422.535,620.927,503.174,695,489,1,1,0,NA,NA,75.4167,10174
M1007,30,482114,800,50,552.053,752.043,543.212,922,551,0,0,0,1,0,170.135,19665
M1007,31,506625,500,25,545.324,719.606,374.506,650,393,0,1,1,0,1,72.0207,12383
M1007,32,526834,200,25,117.886,315.381,515.826,319,488,0,0,0,0,0,28.0601,8311
M1007,33,538880,200,100,156.533,354.946,562.236,420,585,1,1,0,NA,NA,68.922,6144
M1007,34,548362,500,50,654.403,853.063,581.85,788,607,0,1,0,0,1,69.7549,14950
M1007,35,569099,800,25,744.18,943.563,509.702,1068,536,0,0,0,1,0,127.185,14799
M1007,36,590732,800,100,605.573,785.392,695.032,906,727,0,0,0,1,0,124.773,13163
M1007,37,608992,200,100,232.618,376.444,388.413,375,358,1,1,0,NA,NA,30.4472,5638
M1007,38,618321,800,100,806.733,1000.13,642.973,1088,672,1,1,0,NA,NA,92.5368,18048
M1007,39,641634,200,25,380.397,551.441,394.428,404,447,0,1,1,0,1,156.533,24695
M1007,40,670777,800,50,662.318,851.227,660.698,966,701,0,0,0,1,0,121.643,8783
M1007,41,684513,500,100,444.098,621.962,678.462,718,689,1,1,0,NA,NA,96.6147,9912
M1007,42,698834,800,25,722.587,920.522,485.402,1028,499,0,0,0,1,0,108.335,25208
M1007,43,732857,500,25,655.602,839.646,683.759,707,657,0,1,1,0,1,135.318,14624
M1007,44,753218,200,50,179.211,363.505,613.368,362,634,1,1,0,NA,NA,20.687,10578
M1007,45,767419,500,50,557.769,724.684,350.757,626,399,0,1,1,0,1,109.845,10655
