subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
040,0,1,954,975,1,1,normal,1222,684,395.607,2000,1,1839
040,0,2,1205,682,1,1,normal,939,782,284.176,2000,1,639
040,0,3,883,803,1,1,normal,651,698,254.655,2000,1,918
040,0,4,634,697,1,1,normal,951,681,317.404,2000,1,508
040,0,5,963,667,1,1,normal,848,399,291.632,2000,1,733
040,0,6,854,415,1,1,normal,902,694,283.099,2000,1,536
040,0,7,914,680,1,1,normal,1191,774,292.515,2000,1,785
040,0,8,1206,784,1,1,normal,1030,521,316.457,2000,1,652
040,0,9,1017,533,1,1,normal,1176,783,296.279,2000,1,562
040,0,10,1184,769,1,1,normal,1130,486,288.106,2000,1,733
040,0,11,1129,499,1,1,normal,995,754,288.064,2000,1,550
040,0,12,1011,752,1,1,normal,1098,473,292.25,2000,1,712
040,0,13,1086,487,1,1,normal,798,463,288.998,2000,1,648
040,0,14,796,480,1,1,normal,1070,335,310.002,2000,1,686
040,0,15,1056,332,1,1,normal,1255,571,311.002,2000,1,640
040,0,16,1272,575,1,1,normal,962,507,317.37,2000,1,569
040,0,17,978,502,1,1,normal,1110,247,287.139,2000,1,703
040,0,18,1096,260,1,1,normal,891,451,280.189,2000,1,538
040,0,19,899,455,1,1,normal,1178,364,293.466,2000,1,520
040,0,20,1189,353,1,1,normal,1064,641,313.957,2000,1,737
040,0,21,1082,647,1,1,normal,1020,344,309.278,2000,1,550
040,0,22,1013,357,1,1,normal,801,548,285.351,2000,1,376
040,0,23,798,562,1,1,normal,931,819,289.375,2000,1,675
040,0,24,941,816,1,1,normal,785,556,303.209,2000,1,554
040,0,25,774,567,1,1,normal,1066,451,314.197,2000,1,843
040,0,26,1083,447,1,1,normal,1336,583,287.237,2000,1,720
040,0,27,1325,575,1,1,normal,1171,332,287.689,2000,1,721
040,0,28,1167,348,1,1,normal,874,291,298.493,2000,1,702
040,0,29,877,306,1,1,normal,713,544,289.033,2000,1,378
040,0,30,717,530,1,1,normal,820,264,285.246,2000,1,752
040,1,1,934,972,1,-1,MODIFIED1,1007,243,732.646,2000,0,2008
040,1,2,909,0,1,-1,MODIFIED1,1047,541,558.323,2000,0,2000
040,1,3,1075,576,1,-1,MODIFIED1,749,574,326.006,2000,0,2008
040,1,4,782,446,1,-1,MODIFIED1,1035,665,334.619,2000,0,2005
040,1,5,1019,407,1,-1,MODIFIED1,1023,365,42.19,2000,1,1187
040,1,6,1010,705,1,-1,MODIFIED1,723,361,448.001,2000,0,2007
040,1,7,784,761,1,-1,MODIFIED1,1001,248,557.008,2000,0,2008
040,1,8,790,948,1,-1,MODIFIED1,924,538,431.342,2000,1,875
040,1,9,923,536,1,-1,MODIFIED1,836,251,297.983,2000,0,2006
040,1,10,843,751,1,-1,MODIFIED1,1071,438,387.238,2000,0,2009
040,1,11,1106,235,1,-1,MODIFIED1,784,351,342.257,2000,1,1277
040,1,12,796,720,1,-1,MODIFIED1,763,651,76.4853,2000,0,2010
040,1,13,791,383,1,-1,MODIFIED1,887,377,96.1873,2000,1,550
040,1,14,910,722,1,-1,MODIFIED1,1028,642,142.562,2000,0,2006
040,1,15,1013,540,1,-1,MODIFIED1,1103,352,208.432,2000,0,2005
040,1,16,1124,722,1,-1,MODIFIED1,1128,651,71.1126,2000,0,2002
040,1,17,1149,427,1,-1,MODIFIED1,828,637,383.59,2000,0,2009
040,1,18,909,509,1,-1,MODIFIED1,1033,418,153.808,2000,1,1445
040,1,19,1016,656,1,-1,MODIFIED1,1305,291,465.56,2000,1,1293
040,1,20,1299,773,1,-1,MODIFIED1,1008,336,525.024,2000,0,2010
040,1,21,1017,760,1,-1,MODIFIED1,869,602,216.49,2000,1,819
040,1,22,866,486,1,-1,MODIFIED1,571,631,328.71,2000,0,2004
040,1,23,569,385,1,-1,MODIFIED1,856,723,443.411,2000,1,1300
040,1,24,855,371,1,-1,MODIFIED1,760,439,116.829,2000,1,1447
040,1,25,772,630,1,-1,MODIFIED1,1059,424,353.278,2000,1,1220
040,1,26,1045,653,1,-1,MODIFIED1,1359,417,392.8,2000,0,2002
040,1,27,1364,701,1,-1,MODIFIED1,1061,382,439.966,2000,0,2001
040,1,28,1078,760,1,-1,MODIFIED1,1330,249,569.759,2000,0,2003
040,1,29,1234,699,1,-1,MODIFIED1,1081,416,321.711,2000,0,2000
040,1,30,1084,638,1,-1,MODIFIED1,812,549,286.19,2000,1,1980
040,2,1,940,976,1,-1,MODIFIED2,712,710,350.343,2000,1,1883
040,2,2,728,363,1,-1,MODIFIED2,812,426,105,2000,1,852
040,2,3,826,664,1,-1,MODIFIED2,1109,384,398.107,2000,0,2010
040,2,4,1113,524,1,-1,MODIFIED2,1116,684,160.028,2000,1,274
040,2,5,1138,486,1,-1,MODIFIED2,848,819,441.576,2000,1,1841
040,2,6,851,243,1,-1,MODIFIED2,616,629,451.908,2000,1,1967
040,2,7,611,448,1,-1,MODIFIED2,906,551,312.464,2000,0,2006
040,2,8,219,457,1,-1,MODIFIED2,770,284,577.521,2000,1,1294
040,2,9,765,786,1,-1,MODIFIED2,649,558,255.812,2000,1,1967
040,2,10,664,511,1,-1,MODIFIED2,945,514,281.016,2000,0,2000
040,2,11,907,565,1,-1,MODIFIED2,645,520,265.836,2000,0,2000
040,2,12,651,541,1,-1,MODIFIED2,935,597,289.468,2000,0,2000
040,2,13,958,358,1,-1,MODIFIED2,1083,336,126.921,2000,1,1936
040,2,14,1096,732,1,-1,MODIFIED2,798,241,574.356,2000,1,826
040,2,15,801,825,1,-1,MODIFIED2,809,541,284.113,2000,1,1233
040,2,16,827,541,1,-1,MODIFIED2,1054,715,286.016,2000,1,838
040,2,17,1039,367,1,-1,MODIFIED2,775,826,529.506,2000,1,1422
040,2,18,770,268,1,-1,MODIFIED2,1030,668,477.074,2000,1,1053
040,2,19,1020,419,1,-1,MODIFIED2,827,448,195.167,2000,1,1528
040,2,20,831,618,1,-1,MODIFIED2,715,726,158.493,2000,1,891
040,2,21,728,366,1,-1,MODIFIED2,1003,642,389.616,2000,1,1497
040,2,22,993,428,1,-1,MODIFIED2,1202,418,209.239,2000,1,1450
040,2,23,1213,668,1,-1,MODIFIED2,1112,704,107.224,2000,1,1358
040,2,24,1124,363,1,-1,MODIFIED2,1092,405,52.8015,2000,1,1213
040,2,25,1096,661,1,-1,MODIFIED2,1352,553,277.849,2000,0,2002
040,2,26,1357,471,1,-1,MODIFIED2,1188,804,373.43,2000,1,1922
040,2,27,1192,260,1,-1,MODIFIED2,918,672,494.793,2000,0,2003
040,2,28,913,376,1,-1,MODIFIED2,679,491,260.732,2000,1,802
040,2,29,694,583,1,-1,MODIFIED2,749,783,207.425,2000,1,921
040,2,30,743,310,1,-1,MODIFIED2,599,523,257.109,2000,1,1445
040,3,1,976,987,1,-1,MODIFIED3,1105,802,225.535,2000,1,1636
040,3,2,1120,282,1,-1,MODIFIED3,1144,504,223.294,2000,1,2001
040,3,3,1162,580,1,-1,MODIFIED3,1348,284,349.588,2000,1,1340
040,3,4,1336,788,1,-1,MODIFIED3,1129,489,363.662,2000,1,1419
040,3,5,1127,575,1,-1,MODIFIED3,1063,782,216.668,2000,1,1174
040,3,6,1080,307,1,-1,MODIFIED3,796,646,442.241,2000,1,1064
040,3,7,786,425,1,-1,MODIFIED3,927,376,149.272,2000,1,929
040,3,8,921,689,1,-1,MODIFIED3,1226,364,445.702,2000,1,565
040,3,9,1213,722,1,-1,MODIFIED3,1296,656,106.042,2000,1,1237
040,3,10,1290,421,1,-1,MODIFIED3,1324,358,71.5891,2000,1,788
040,3,11,1332,728,1,-1,MODIFIED3,1296,656,80.4984,2000,1,1799
040,3,12,1303,408,1,-1,MODIFIED3,1151,394,152.643,2000,1,739
040,3,13,1149,690,1,-1,MODIFIED3,954,621,206.848,2000,0,2000
040,3,14,961,432,1,-1,MODIFIED3,655,639,369.439,2000,1,1320
040,3,15,645,452,1,-1,MODIFIED3,595,345,118.106,2000,1,1377
040,3,16,607,721,1,-1,MODIFIED3,893,381,444.293,2000,1,791
040,3,17,909,706,1,-1,MODIFIED3,594,362,466.434,2000,0,2011
040,3,18,578,618,1,-1,MODIFIED3,625,661,63.7024,2000,1,1525
040,3,19,622,404,1,-1,MODIFIED3,922,617,367.925,2000,1,1519
040,3,20,927,469,1,-1,MODIFIED3,946,318,152.191,2000,1,1842
040,3,21,958,750,1,-1,MODIFIED3,1246,299,535.112,2000,0,2012
040,3,22,1232,756,1,-1,MODIFIED3,1330,587,195.359,2000,1,1429
040,3,23,1349,496,1,-1,MODIFIED3,1060,718,364.424,2000,1,1077
040,3,24,1064,366,1,-1,MODIFIED3,1355,770,497.893,2000,1,1207
040,3,25,1372,310,1,-1,MODIFIED3,1275,481,196.596,2000,1,1252
040,3,26,1261,608,1,-1,MODIFIED3,1208,774,174.256,2000,1,641
040,3,27,1199,317,1,-1,MODIFIED3,921,689,464.401,2000,1,1952
040,3,28,910,401,1,-1,MODIFIED3,884,391,27.8568,2000,1,1669
040,3,29,878,677,1,-1,MODIFIED3,1184,398,414.098,2000,1,1293
040,3,30,1191,693,1,-1,MODIFIED3,1246,691,55.0364,2000,1,536
040,4,1,950,970,1,-1,MODIFIED4,913,243,727.941,2000,1,1476
040,4,2,931,828,1,-1,MODIFIED4,775,509,355.101,2000,1,1842
040,4,3,780,578,1,-1,MODIFIED4,977,287,351.411,2000,1,1038
040,4,4,974,799,1,-1,MODIFIED4,1215,470,407.826,2000,1,802
040,4,5,1235,616,1,-1,MODIFIED4,1134,758,174.256,2000,1,1025
040,4,6,1127,331,1,-1,MODIFIED4,1009,486,194.805,2000,1,955
040,4,7,1000,582,1,-1,MODIFIED4,718,559,282.936,2000,1,1938
040,4,8,721,510,1,-1,MODIFIED4,727,259,251.072,2000,1,1027
040,4,9,718,806,1,-1,MODIFIED4,1005,372,520.312,2000,1,675
040,4,10,1024,706,1,-1,MODIFIED4,1296,301,487.862,2000,1,1220
040,4,11,1292,773,1,-1,MODIFIED4,1165,570,239.454,2000,1,1098
040,4,12,1179,522,1,-1,MODIFIED4,943,368,281.801,2000,1,865
040,4,13,948,706,1,-1,MODIFIED4,1024,657,90.4268,2000,1,1242
040,4,14,1033,414,1,-1,MODIFIED4,734,737,440.148,2000,0,2010
040,4,15,742,426,1,-1,MODIFIED4,1018,639,348.633,2000,1,1212
040,4,16,1019,434,1,-1,MODIFIED4,753,781,437.224,2000,1,1345
040,4,17,746,308,1,-1,MODIFIED4,1042,699,490.405,2000,1,1121
040,4,18,1049,367,1,-1,MODIFIED4,749,632,400.281,2000,1,1321
040,4,19,746,461,1,-1,MODIFIED4,898,371,176.647,2000,1,1066
040,4,20,882,707,1,-1,MODIFIED4,599,392,423.455,2000,1,1631
040,4,21,615,699,1,-1,MODIFIED4,804,611,208.483,2000,1,1183
040,4,22,802,455,1,-1,MODIFIED4,1051,442,249.339,2000,1,1654
040,4,23,1063,625,1,-1,MODIFIED4,921,712,166.532,2000,1,672
040,4,24,911,330,1,-1,MODIFIED4,1134,500,280.409,2000,1,1488
040,4,25,1130,597,1,-1,MODIFIED4,1334,724,240.302,2000,1,1091
040,4,26,1334,336,1,-1,MODIFIED4,1138,497,253.647,2000,1,693
040,4,27,1146,590,1,-1,MODIFIED4,1086,793,211.681,2000,1,876
040,4,28,1095,296,1,-1,MODIFIED4,1063,494,200.569,2000,1,672
040,4,29,1051,579,1,-1,MODIFIED4,766,447,314.084,2000,1,1818
040,4,30,767,657,1,-1,MODIFIED4,684,736,114.586,2000,1,933
040,5,1,953,980,1,-1,MODIFIED5,897,833,157.305,2000,1,1288
040,5,2,911,245,1,-1,MODIFIED5,601,782,620.056,2000,0,2008
040,5,3,568,315,1,-1,MODIFIED5,796,554,330.31,2000,1,824
040,5,4,781,541,1,-1,MODIFIED5,1059,410,307.319,2000,1,1323
040,5,5,1069,668,1,-1,MODIFIED5,1356,366,416.621,2000,1,974
040,5,6,1347,711,1,-1,MODIFIED5,1173,604,204.267,2000,1,1256
040,5,7,1171,481,1,-1,MODIFIED5,1011,351,206.155,2000,1,597
040,5,8,1007,722,1,-1,MODIFIED5,732,460,379.828,2000,1,1215
040,5,9,715,625,1,-1,MODIFIED5,963,652,249.465,2000,1,898
040,5,10,978,428,1,-1,MODIFIED5,1254,581,315.571,2000,1,1107
040,5,11,1255,497,1,-1,MODIFIED5,961,645,329.15,2000,0,2007
040,5,12,925,266,1,-1,MODIFIED5,1209,476,353.208,2000,1,1493
040,5,13,1195,607,1,-1,MODIFIED5,972,660,229.212,2000,1,1093
040,5,14,958,426,1,-1,MODIFIED5,947,362,64.9384,2000,1,827
040,5,15,956,721,1,-1,MODIFIED5,652,419,428.509,2000,1,1673
040,5,16,650,647,1,-1,MODIFIED5,944,488,334.241,2000,1,1976
040,5,17,946,598,1,-1,MODIFIED5,718,291,382.404,2000,1,1673
040,5,18,702,777,1,-1,MODIFIED5,796,581,217.375,2000,1,1330
040,5,19,805,498,1,-1,MODIFIED5,612,343,247.536,2000,1,905
040,5,20,616,727,1,-1,MODIFIED5,780,592,212.417,2000,1,958
040,5,21,786,490,1,-1,MODIFIED5,1077,549,296.921,2000,1,1269
040,5,22,1081,536,1,-1,MODIFIED5,943,281,289.947,2000,1,1214
