subnum,trial,step,xtrans,ytrans,label,startx,starty,time,xpos,ypos,step,targx,targy,dist,timeout,hit
018,0,1,1,1,normal,966,979,4545,966,979,1,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4558,966,979,2,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4572,966,979,3,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4585,966,979,4,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4597,966,979,5,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4609,966,979,6,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4622,966,979,7,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4635,966,979,8,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4648,966,979,9,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4661,966,979,10,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4675,966,979,11,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4688,966,979,12,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4702,966,979,13,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4715,966,979,14,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4727,966,979,15,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4739,966,979,16,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4753,966,979,17,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4767,966,979,18,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4780,966,979,19,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4792,966,979,20,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4804,966,979,21,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4818,966,979,22,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4832,966,979,23,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4846,966,979,24,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4859,966,979,25,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4873,966,979,26,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4885,966,979,27,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4899,966,979,28,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4912,966,979,29,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4925,966,979,30,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4937,966,979,31,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4951,966,979,32,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4964,966,979,33,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4978,966,979,34,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,4990,966,979,35,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5003,966,979,36,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5017,964,977,37,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5030,962,974,38,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5043,957,968,39,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5057,951,962,40,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5071,950,960,41,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5084,944,948,42,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5097,937,929,43,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5110,934,922,44,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5122,929,905,45,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5135,928,898,46,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5149,926,884,47,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5162,926,874,48,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5175,926,871,49,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5189,926,869,50,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5202,926,867,51,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5215,926,867,52,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5228,926,866,53,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5241,926,865,54,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5254,926,865,55,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5267,926,863,56,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5281,926,859,57,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5295,926,857,58,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5309,926,851,59,909,835,154.871,2000,0
018,0,1,1,1,normal,966,979,5322,926,845,60,909,835,154.871,2000,1
018,0,2,1,1,normal,925,839,5341,925,839,1,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5354,924,836,2,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5368,924,834,3,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5382,924,833,4,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5396,923,832,5,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5408,923,832,6,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5421,920,828,7,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5433,917,824,8,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5447,915,822,9,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5460,912,820,10,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5471,911,819,11,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5484,910,819,12,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5497,910,819,13,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5510,910,819,14,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5524,910,819,15,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5537,910,819,16,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5549,910,819,17,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5562,910,819,18,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5573,910,819,19,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5586,910,819,20,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5600,910,819,21,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5614,912,817,22,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5628,925,807,23,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5639,935,793,24,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5652,953,770,25,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5665,977,737,26,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5678,987,719,27,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5691,1002,688,28,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5704,1010,673,29,985,545,300.06,2000,0
018,0,2,1,1,normal,925,839,5717,1019,648,30,985,545,300.06,2000,0
